top_movie,year,genre,score,tickets_sold,budget,gross,inflation_adjusted_gross
The Passion of the Christ,2004,Drama,74.0,222235135,25000000.0,1380080888,1993449161
Avatar,2010,Action,76.0,205215607,237000000.0,1804202879,1840783995
Scream,1996,Horror,67.0,25546499,24000000.0,112915551,229152096
Scream,1996,Horror,67.0,25546499,15000000.0,112915551,229152096
Scream,1996,Horror,74.0,25546499,24000000.0,112915551,229152096
Scream,1996,Horror,74.0,25546499,15000000.0,112915551,229152096
Scream,1996,Horror,41.0,25546499,24000000.0,112915551,229152096
Scream,1996,Horror,41.0,25546499,15000000.0,112915551,229152096
Harry Potter and the Half-Blood Prince,2009,Adventure,77.0,322117706,250000000.0,2818706120,2889395823
The Avengers,2012,Action,77.0,278874194,225000000.0,2219838801,2501501520
The Avengers,2012,Action,77.0,278874194,60000000.0,2219838801,2501501520
The Avengers,2012,Action,44.0,278874194,225000000.0,2219838801,2501501520
The Avengers,2012,Action,44.0,278874194,60000000.0,2219838801,2501501520
Tangled,2010,Musical,76.0,22108696,260000000.0,174481691,198315003
Shrek 2,2004,Adventure,72.0,465029564,70000000.0,2887833719,4171315189
Toy Story,1995,Adventure,80.0,177358047,30000000.0,771507571,1590901682
Titanic,1997,Thriller or Suspense,79.0,140748740,200000000.0,646036777,1262516198
Titanic,1998,Thriller or Suspense,79.0,167625193,200000000.0,786162209,1503597981
Titanic,1997,Thriller or Suspense,66.0,140748740,200000000.0,646036777,1262516198
Titanic,1998,Thriller or Suspense,66.0,167625193,200000000.0,786162209,1503597981
The Hunger Games: Mockingjay - Part 1,2014,Thriller or Suspense,68.0,118634566,125000000.0,969244659,1064152057
The Conjuring,2013,Horror,75.0,55168866,20000000.0,448523012,494864728
The Godfather,1997,Drama,87.0,261054747,7000000.0,1198241550,2341661081
Twilight,2008,Drama,63.0,137297291,37000000.0,1089416918,1231556700
Twilight,2008,Drama,63.0,137297291,20000000.0,1089416918,1231556700
Twilight,2008,Drama,69.0,137297291,37000000.0,1089416918,1231556700
Twilight,2008,Drama,69.0,137297291,20000000.0,1089416918,1231556700
The Hangover,2009,Comedy,73.0,173140695,35000000.0,1435281074,1553072034
Inception,2010,Thriller or Suspense,84.0,104436566,160000000.0,919200109,936795997
Frozen,2013,Musical,72.0,43935184,150000000.0,357193074,394098600
Frozen,2014,Musical,72.0,30866923,150000000.0,252182790,276876299
Frozen,2013,Musical,60.0,43935184,150000000.0,357193074,394098600
Frozen,2014,Musical,60.0,30866923,150000000.0,252182790,276876299
Finding Nemo,2003,Adventure,78.0,402011823,94000000.0,2424131447,3606046052
Captain America: Civil War,2016,Action,74.0,289951566,250000000.0,2533249471,2600865547
Grown Ups,2010,Comedy,64.0,155529369,75000000.0,1376066203,1395098440
Hidden Figures,2017,Drama,81.0,147890338,25000000.0,1326577328,1326576332
The Twilight Saga: Eclipse,2010,Drama,62.0,195679977,68000000.0,1688220533,1755249394
The Hunger Games: Catching Fire,2013,Adventure,74.0,356747331,130000000.0,2900376040,3200023559
The Hunger Games: Mockingjay - Part 2,2015,Thriller or Suspense,69.0,125482735,160000000.0,1089501477,1125580133
The Dark Knight,2008,Action,85.0,195362748,185000000.0,1643555898,1752403850
Iron Man 3,2013,Action,69.0,298053449,200000000.0,2423174736,2673539438
Toy Story 3,2010,Adventure,78.0,372676939,200000000.0,3202949362,3342912143
Iron Man,2008,Adventure,76.0,343645676,186000000.0,3007666130,3082501714
The Hobbit: An Unexpected Journey,2012,Adventure,73.0,412599414,200000000.0,3284291528,3701016744
The Hangover Part II,2011,Comedy,65.0,171940533,80000000.0,1491182522,1542306581
Scream 2,1997,Horror,65.0,88845581,24000000.0,407801247,796944862
American Sniper,2015,Drama,74.0,240584394,58000000.0,2070185234,2158042014
Beauty and the Beast,2012,Musical,77.0,49233771,160000000.0,391900843,441626926
